path,category,used_by_production_client,reader_status,reason,race_ids,map_race_item_references,packed_native,packed_reference,disposition
season1/season1/monster/ch_officer/skipia_officer_wait.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_wait.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/monster/ch_officer/skipia_officer_wait1.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season1/season1/monster/ch_officer/skipia_officer_wait1.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season1/season1/pc/assassin/assassin.gr2,player model,unknown - no complete active reference chain proved,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,,,0,1,unresolved; do not declare unused or safe to remove
season2/season2/monster/ch_officer/skipia_officer.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,skeleton: bone names must be nonempty and unique,2404;2414;2434;2454,season2/season2/monster/ch_officer/shape.msm:3; season2/season2/monster/ch_officer/officer.msm:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season2/season2/monster/ch_officer/skipia_officer_back_dead.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,duplicate/empty track target,2404;2414;2434;2454,season2/season2/monster/ch_officer/skipia_officer_back_dead.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season2/season2/monster/ch_officer/skipia_officer_lod_01.gr2,mob model/animation,unknown - no complete active reference chain proved,malformed,skeleton: bone names must be nonempty and unique,2404;2414;2434;2454,season2/season2/monster/ch_officer/shape.msm:3; season2/season2/monster/ch_officer/officer.msm:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,unresolved; do not declare unused or safe to remove
season3_eu/ymir work/monster2/ch_officer/37.gr2,mob model/animation,yes - registered client configuration,malformed,duplicate/empty track target,2404;2414;2434;2454,season3_eu/ymir work/monster2/ch_officer/37.msa:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,BLOCK migration; implement and verify native semantics
season3_eu/ymir work/monster2/ch_officer/skipia_officer.gr2,mob model/animation,yes - registered client configuration,malformed,skeleton: bone names must be nonempty and unique,2404;2414;2434;2454,season3_eu/ymir work/monster2/ch_officer/shape.msm:3; season3_eu/ymir work/monster2/ch_officer/ch_officer.msm:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,BLOCK migration; implement and verify native semantics
season3_eu/ymir work/monster2/ch_officer/skipia_officer_lod_01.gr2,mob model/animation,yes - registered client configuration,malformed,skeleton: bone names must be nonempty and unique,2404;2414;2434;2454,season3_eu/ymir work/monster2/ch_officer/shape.msm:3; season3_eu/ymir work/monster2/ch_officer/ch_officer.msm:3; share/conf/mob_proto.txt:358; share/conf/mob_proto.txt:362; share/conf/mob_proto.txt:366; share/conf/mob_proto.txt:370; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_01/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:645; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:647; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:653; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:660; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:662; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:665; share/locale/english/map/metin2_map_skipia_dungeon_011/regen.txt:667; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:187; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:190; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:191; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:193; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:195; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:200; share/locale/english/map/metin2_map_skipia_dungeon_02/regen.txt:201,0,1,BLOCK migration; implement and verify native semantics
season3_eu/ymir work/zone/dungeon/haven_dungeon/skipia_boss.gr2,dungeon building/blocker,no - rejected raw bytes not selected by production packs,malformed,declared file size differs from input,,Property/property/thief_dungeon/haven_dungeon/skipia_boss.prd:3,1,1,raw size-invalid copy; selected packed replacement is native-readable; keep raw rejection
season3_eu/ymir work/zone/dungeon/haven_dungeon/skipia_passc.gr2,dungeon building/blocker,no - rejected raw bytes not selected by production packs,malformed,declared file size differs from input,,Property/property/thief_dungeon/haven_dungeon/skipia_passc.prd:3,1,1,raw size-invalid copy; selected packed replacement is native-readable; keep raw rejection
season3_eu/ymir work/zone/dungeon/haven_dungeon/skipia_passl.gr2,dungeon building/blocker,no - rejected raw bytes not selected by production packs,malformed,declared file size differs from input,,Property/property/thief_dungeon/haven_dungeon/skipia_passl.prd:3,1,1,raw size-invalid copy; selected packed replacement is native-readable; keep raw rejection
season3_eu/ymir work/zone/dungeon/haven_dungeon/skipia_passp.gr2,dungeon building/blocker,no - rejected raw bytes not selected by production packs,malformed,declared file size differs from input,,Property/property/thief_dungeon/haven_dungeon/skipia_passp.prd:3,1,1,raw size-invalid copy; selected packed replacement is native-readable; keep raw rejection
season3_eu/ymir work/zone/dungeon/haven_dungeon/skipia_passt.gr2,dungeon building/blocker,no - rejected raw bytes not selected by production packs,malformed,declared file size differs from input,,Property/property/thief_dungeon/haven_dungeon/skipia_passt.prd:3,1,1,raw size-invalid copy; selected packed replacement is native-readable; keep raw rejection
